id,name,lat,lon
1566165,,37.5079892,23.4481684
1566176,,37.5083334,23.4480333
1566181,,37.5085755,23.447448
1566189,,37.5086363,23.4470773
1566193,,37.5086175,23.4468701
1566197,,37.5083399,23.4457848
1566209,,37.5083386,23.4454902
1566215,,37.5087731,23.4450814
1566223,,37.5090675,23.4450359
1566229,,37.5096001,23.4452894
1566231,,37.5099065,23.4455844
1566234,,37.5103406,23.4452116
1566236,,37.5106733,23.4452369
1566237,,37.5109927,23.4454517
1566240,,37.5113263,23.4453818
1566280,,37.5124432,23.4443852
1566284,,37.5131554,23.4437055
1566288,,37.5137362,23.4431758
1566291,,37.5140915,23.4425079
1566297,,37.5141702,23.442052
1566307,,37.5138614,23.4404532
1566310,,37.5136451,23.4402604
1566313,,37.5134737,23.4397397
1566315,,37.5136025,23.4393248
1566317,,37.5139762,23.4389915
1566320,,37.5143881,23.4390193
1566964,,37.5150021,23.439095
1566970,,37.515351,23.4385906
1566975,,37.5152863,23.4382126
1566980,,37.5150617,23.4370107
1566989,,37.515234,23.4364555
1566995,,37.5160752,23.4357111
1567001,,37.5162961,23.4354297
1567008,,37.5164734,23.435128
1567013,,37.5167939,23.4350335
1567017,,37.5170284,23.435188
1567022,,37.5172826,23.4354127
1567037,,37.5178189,23.4363724
1567050,,37.5182124,23.4372816
1567509,,37.5184252,23.4373702
1567518,,37.5191636,23.4370894
1567521,,37.5192384,23.436929
1567532,,37.5187504,23.4348093
1567542,,37.518892,23.4344557
1567553,,37.5193987,23.4341527
1567558,,37.5197675,23.4339306
1567560,,37.519835,23.4337236
1567563,,37.519823,23.4336139
1567572,,37.5195793,23.4331273
1567577,,37.5196035,23.4325708
1567584,,37.5199542,23.4319251
1567586,,37.5199135,23.4315708
1567588,,37.5196921,23.4312991
1567590,,37.519465,23.4311818
1567591,,37.5190792,23.4307177
1567593,,37.5190898,23.4306332
1567594,,37.5193675,23.4300089
1567596,,37.5194858,23.429905
1567597,,37.5200519,23.4298481
1567601,,37.5204704,23.4300956
1567611,,37.5207495,23.4301922
1567615,,37.5211188,23.4303252
1567620,,37.5212312,23.4304347
1567624,,37.5214167,23.431175
1567628,,37.5216652,23.4315891
1567637,,37.5223084,23.4320526
1567641,,37.5226029,23.4324539
1567643,,37.5228479,23.4325504
1567645,,37.5230555,23.4325483
1567647,,37.5233857,23.432441
1567651,,37.5236001,23.4325075
1567665,,37.5236575,23.4325732
1567670,,37.5236171,23.4328166
1567674,,37.5233564,23.4332744
1567683,,37.5237671,23.432655
1567685,,37.5235831,23.4339076
1568067,,37.5164245,23.4639973
1568071,,37.5162777,23.4637707
1568075,,37.5162956,23.4634066
1568082,,37.5164658,23.4628057
1568083,,37.5163977,23.462162
1568085,,37.5160807,23.4617501
1568087,,37.5157235,23.4614177
1568089,,37.515381,23.4612259
1568090,,37.5150423,23.4611703
1568093,,37.5148786,23.4612375
1568103,,37.5144853,23.4614646
1568108,,37.5142289,23.4613319
1568113,,37.5128239,23.4631762
1568118,,37.5140915,23.4610849
1568126,,37.5139809,23.4608316
1568130,,37.5138744,23.4606956
1568133,,37.5135406,23.4604186
1568139,,37.5133417,23.4601128
1568144,,37.5136449,23.460208
1568146,,37.5140874,23.4605165
1568150,,37.5142768,23.4607123
1568157,,37.5143895,23.4608169
1568160,,37.5146331,23.4607847
1568165,,37.5148792,23.4604043
1568169,,37.5149701,23.4603274
1568174,,37.5155309,23.4603314
1568176,,37.5162245,23.4604467
1568177,,37.5162096,23.4601919
1568179,,37.515298,23.4598178
1568235,,37.5130109,23.4583801
1568239,,37.5133279,23.4586564
1568243,,37.5137364,23.4589863
1568244,,37.5145406,23.4595388
1568372,,37.5203739,23.4639227
1568379,,37.5206525,23.4640932
1568385,,37.5208567,23.4644365
1568388,,37.5208345,23.464875
1568394,,37.5206764,23.4652295
1568397,,37.5201526,23.4638503
1568401,,37.5199377,23.4639215
1568404,,37.5195293,23.464179
1568406,,37.5187932,23.4643599
1568407,,37.5181039,23.4642741
1568409,,37.5175934,23.4642606
1568411,,37.5171806,23.4640503
1568414,,37.5168743,23.4640074
13467714,,40.4829789,25.4776341
13467715,,40.4833684,25.4780375
13467716,,40.4838181,25.4785061
13467718,,40.4850193,25.4804238
13467719,,40.48539,25.4810729
13467720,,40.4856556,25.4815016
13467724,,40.4861335,25.4822941
13467729,,40.4867947,25.4833721
13467738,,40.487747,25.4842944
13467740,,40.4883529,25.4856415
13467743,,40.4885766,25.4861549
13467745,,40.4890028,25.4870513
13467894,,40.4892668,25.4874439
13467898,,40.4897436,25.4881207
13467906,,40.4901316,25.4886089
13467909,,40.4904696,25.4890581
13467911,,40.4916167,25.4906197
13467912,,40.492108,25.4912294
13467913,,40.49271,25.4919348
13467916,,40.4930271,25.492587
13467921,,40.4932354,25.4934841
13467925,,40.4932262,25.4941155
13467927,,40.4932817,25.4948814
13467928,,40.4934473,25.4953079
13467930,,40.493708,25.4955883
13467931,,40.4939026,25.4956912
13467932,,40.4945509,25.4958553
13467933,,40.4949358,25.4962373
13467934,,40.4950109,25.496542
13467938,,40.4951414,25.4972286
13467939,,40.495272,25.4979153
13468073,,40.4954025,25.4985161
13468076,,40.4959247,25.5016918
