id,name,lat,lon
135028491, ,40.4874070,22.9725409
135028493, ,40.4872846,22.9726823
135028494, ,40.4872029,22.9728196
135028495, ,40.4871050,22.9729998
135028496, ,40.4870331,22.9732058
135028497, ,40.4869418,22.9734118
135028498, ,40.4868438,22.9736350
135028499, ,40.4867394,22.9738238
135028501, ,40.4865911,22.9739914
135028502, ,40.4864540,22.9741459
135028503, ,40.4862842,22.9742832
135028504, ,40.4859644,22.9744721
135028505, ,40.4858077,22.9745751
135028507, ,40.4857005,22.9746779
135028508, ,40.4856273,22.9747947
135028509, ,40.4855098,22.9750555
135028510, ,40.4853898,22.9753441
135028511, ,40.4852724,22.9755535
135028512, ,40.4851484,22.9756908
135028514, ,40.4849786,22.9758196
135028515, ,40.4847808,22.9759242
135028516, ,40.4845555,22.9760794
135028517, ,40.4841365,22.9763298
135028518, ,40.4837760,22.9765462
135028519, ,40.4835239,22.9766919
135028520, ,40.4833537,22.9767884
135028522, ,40.4832053,22.9768525
135028524, ,40.4829385,22.9769321
135028525, ,40.4827733,22.9769551
135028526, ,40.4818798,22.9770785
135028528, ,40.4812922,22.9771886
135028529, ,40.4810375,22.9771912
135028531, ,40.4807014,22.9771847
135028532, ,40.4804484,22.9772094
135028533, ,40.4802740,22.9772547
135028534, ,40.4801759,22.9772861
135028535, ,40.4800458,22.9773497
135028537, ,40.4798358,22.9774579
135028538, ,40.4796848,22.9775337
135028540, ,40.4795305,22.9775898
135028542, ,40.4794034,22.9776149
135028544, ,40.4793055,22.9776149
135028545, ,40.4791422,22.9775892
135028547, ,40.4790051,22.9775034
135028549, ,40.4789007,22.9774175
135028552, ,40.4787636,22.9772636
135028554, ,40.4785396,22.9769964
135028556, ,40.4783947,22.9768071
135028560, ,40.4782837,22.9766332
135028562, ,40.4781813,22.9764525
135028565, ,40.4780854,22.9762668
135028567, ,40.4780095,22.9760845
135028570, ,40.4779244,22.9757883
135028573, ,40.4778952,22.9756328
135028575, ,40.4778797,22.9754577
135028578, ,40.4778725,22.9752484
135028581, ,40.4779150,22.9749238
135028583, ,40.4779787,22.9746695
135028585, ,40.4780051,22.9745236
135028587, ,40.4780092,22.9743691
135028588, ,40.4779913,22.9742496
135028589, ,40.4778926,22.9740174
135028590, ,40.4776172,22.9738272
135028592, ,40.4775018,22.9737776
135028593, ,40.4768741,22.9735801
135028595, ,40.4764941,22.9734583
135028596, ,40.4762122,22.9733720
135028597, ,40.4759881,22.9733043
135028598, ,40.4756882,22.9732062
135028599, ,40.4753887,22.9730774
135028600, ,40.4750488,22.9729261
135028602, ,40.4748648,22.9728462
135028603, ,40.4747413,22.9728041
135028604, ,40.4743953,22.9727593
135028605, ,40.4742976,22.9727711
135028606, ,40.4732598,22.9728451
135028608, ,40.4726291,22.9729161
135028610, ,40.4723246,22.9730009
135028611, ,40.4721677,22.9730929
135028613, ,40.4719571,22.9732546
135028614, ,40.4716204,22.9736020
135028615, ,40.4713270,22.9739351
135028617, ,40.4711141,22.9741582
135028618, ,40.4709707,22.9742715
135028620, ,40.4707831,22.9743465
135028621, ,40.4706223,22.9743878
135028622, ,40.4700279,22.9745168
135028624, ,40.4697224,22.9745777
135028625, ,40.4690809,22.9747139
135028626, ,40.4685614,22.9748048
135028628, ,40.4683172,22.9748657
135028630, ,40.4678831,22.9750773
135028632, ,40.4675691,22.9753708
135028634, ,40.4675055,22.9754433
135028635, ,40.4673739,22.9756172
135028636, ,40.4672256,22.9758868
135028637, ,40.4670969,22.9762379
135028639, ,40.4670094,22.9764626
135028640, ,40.4668880,22.9767472
135028641, ,40.4667627,22.9769318
135028642, ,40.4665827,22.9770906
135028643, ,40.4664490,22.9771801
135028645, ,40.4662357,22.9773118
135028646, ,40.4655278,22.9777289
135028647, ,40.4651487,22.9779898
135028648, ,40.4649602,22.9781451
135028649, ,40.4648084,22.9782733
135028650, ,40.4646406,22.9784052
135028651, ,40.4644382,22.9785576
135028652, ,40.4642227,22.9786348
135028653, ,40.4639811,22.9787293
135028654, ,40.4634652,22.9789267
135028655, ,40.4631729,22.9790425
135028656, ,40.4629460,22.9791345
135028657, ,40.4626994,22.9792483
135028658, ,40.4624904,22.9793642
135028659, ,40.4622456,22.9795037
135028660, ,40.4620513,22.9796004
135028661, ,40.4618571,22.9796668
135028662, ,40.4616432,22.9796991
135028663, ,40.4615743,22.9797046
135028665, ,40.4614740,22.9797019
135028666, ,40.4612331,22.9797217
135028667, ,40.4610816,22.9797537
135028668, ,40.4609373,22.9798130
135028669, ,40.4607495,22.9799293
135028670, ,40.4601797,22.9802898
135028671, ,40.4596761,22.9806130
135028672, ,40.4595451,22.9807259
135028674, ,40.4594113,22.9808540
135028675, ,40.4593010,22.9809879
135028676, ,40.4589798,22.9814806
135028678, ,40.4586824,22.9819715
135028679, ,40.4585318,22.9822303
135028681, ,40.4581951,22.9828566
135028683, ,40.4581461,22.9830055
135028686, ,40.4580124,22.9834856
135028687, ,40.4579332,22.9838870
135028689, ,40.4577200,22.9848627
135028690, ,40.4575667,22.9856036
135028691, ,40.4573164,22.9867979
135028693, ,40.4572358,22.9873893
135028694, ,40.4572318,22.9882975
135028695, ,40.4572501,22.9885161
135028696, ,40.4574655,22.9893543
135028697, ,40.4575854,22.9897942
135028699, ,40.4576644,22.9901147
135028700, ,40.4577313,22.9905640
135028702, ,40.4578415,22.9913250
135028704, ,40.4579303,22.9918997
135028705, ,40.4579721,22.9921351
135028707, ,40.4580787,22.9927231
135028708, ,40.4582369,22.9933481
135028710, ,40.4582573,22.9936425
135028712, ,40.4582476,22.9937853
135028713, ,40.4582114,22.9943184
135028715, ,40.4582221,22.9946657
135028718, ,40.4582552,22.9949178
135028719, ,40.4583706,22.9955287
135028720, ,40.4584298,22.9959954
135028722, ,40.4584461,22.9962958
135028728, ,40.4585766,22.9982752
135028730, ,40.4586174,22.9984284
135028731, ,40.4587350,22.9987804
135028732, ,40.4587960,22.9989653
135028733, ,40.4588934,22.9996393
135028735, ,40.4588832,23.0000549
135028737, ,40.4588569,23.0007850
135028738, ,40.4588125,23.0011963
135028739, ,40.4587298,23.0015151
135028740, ,40.4582132,23.0025381
135028741, ,40.4579319,23.0030127
135028743, ,40.4577404,23.0033835
135028745, ,40.4573362,23.0041645
135028775, ,40.4528155,23.0083928
135028776, ,40.4527261,23.0084561
135028778, ,40.4524725,23.0085700
135028779, ,40.4523302,23.0086147
135028812, ,40.4508048,23.0161710
135028817, ,40.4502139,23.0176315
135028819, ,40.4501547,23.0178930
135028826, ,40.4496648,23.0183986
135028828, ,40.4493121,23.0183958
135028829, ,40.4491488,23.0184043
135028831, ,40.4488680,23.0184473
135028832, ,40.4485544,23.0185073
135028834, ,40.4481405,23.0186183
135028835, ,40.4477576,23.0187133
135028837, ,40.4474114,23.0187820
135028838, ,40.4469476,23.0188421
135028840, ,40.4466668,23.0188764
135028841, ,40.4464904,23.0188764
135028842, ,40.4463794,23.0188764
135028843, ,40.4461377,23.0188163
135028845, ,40.4458111,23.0186275
135028847, ,40.4451775,23.0182155
135028848, ,40.4448182,23.0180009
135028849, ,40.4444720,23.0177778
135028851, ,40.4443283,23.0177005
135028852, ,40.4441083,23.0176866
135028871, ,40.4361046,23.0155155
135054650, ,40.4578548,22.9997908
135054666, ,40.4544383,23.0054589
135054668, ,40.4536683,23.0064708
135054670, ,40.4533071,23.0069509
135054672, ,40.4528764,23.0074029
135054674, ,40.4525850,23.0076959
135054675, ,40.4516811,23.0084150
135054677, ,40.4512265,23.0087614
135054678, ,40.4505829,23.0091900
135054679, ,40.4495812,23.0097324
135054680, ,40.4489474,23.0100167
135054681, ,40.4482840,23.0102795
135054683, ,40.4478982,23.0103841
135054684, ,40.4467858,23.0106162
135054685, ,40.4461568,23.0107104
135054688, ,40.4446414,23.0109507
135054689, ,40.4441645,23.0110280
135054690, ,40.4435582,23.0111634
135054691, ,40.4427799,23.0114101
135054693, ,40.4420409,23.0116931
135054694, ,40.4416796,23.0118486
135054696, ,40.4407916,23.0123194
135054698, ,40.4400332,23.0127271
135054700, ,40.4390411,23.0132917
135054702, ,40.4382643,23.0137302
135054703, ,40.4373508,23.0142425
135054705, ,40.4358615,23.0150807
135054706, ,40.4348311,23.0156641
135054708, ,40.4339925,23.0161496
135054710, ,40.4332044,23.0166002
135054711, ,40.4323929,23.0170588
135054712, ,40.4314558,23.0176006
135054713, ,40.4309597,23.0178796
135058463, ,40.4365889,23.0152429
135058465, ,40.4371769,23.0149168
135058466, ,40.4377060,23.0146163
135058467, ,40.4379412,23.0145048
135058468, ,40.4383735,23.0143913
135058495, ,40.4448218,23.0114385
135058496, ,40.4456885,23.0113018
135058497, ,40.4466875,23.0111499
135058498, ,40.4475174,23.0109857
